,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#subClassOf,Examples (base URI),http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.openlinksw.com/schemas/virtrdf#isGcResistantType
56,https://w3id.org/dingo#AcademicDegree,0,http://www.w3.org/2000/01/rdf-schema#Class,AcademicDegree,,,The class for academic degrees: college or university diploma.,,http://www.wikidata.org/entity/Q189533,https://w3id.org/dingo#,
57,https://w3id.org/dingo#AgeCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,AgeCriterion,https://w3id.org/dingo#Criterion,,Grants are awarded to projects on the basis of age limits.,,,https://w3id.org/dingo#,
58,https://w3id.org/dingo#ArchiveOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,ArchiveOrganisation,https://w3id.org/dingo#Organisation,,"Institution that holds artifacts and other objects of scientific, artistic, cultural, historical, or other importance.",,,https://w3id.org/dingo#,
59,https://w3id.org/dingo#BottomUpCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,BottomUpCriterion,https://w3id.org/dingo#Criterion,,"Grants are awarded to projects on the basis of the research proposal itself without restriction on theme/subject or research area. The funding body does not specifies beforehand missions, targets nor topics of the research projects that can apply.",,,https://w3id.org/dingo#,
60,https://w3id.org/dingo#CareerPurposeCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,CareerPurposeCriterion,https://w3id.org/dingo#Criterion,,Grants are awarded on the basis of career-related goals and applicants must be at a defined career stage (defined academic degree) to be achieved.,,,https://w3id.org/dingo#,
61,https://w3id.org/dingo#CareerStageCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,CareerStageCriterion,https://w3id.org/dingo#Criterion,,Grants are awarded to projects on the basis of career stage limits.,,,https://w3id.org/dingo#,
62,https://w3id.org/dingo#Company,0,http://www.w3.org/2000/01/rdf-schema#Class,Company,https://w3id.org/dingo#Organisation,,A commercial business.,,,https://w3id.org/dingo#,
63,https://w3id.org/dingo#Criterion,0,http://www.w3.org/2000/01/rdf-schema#Class,Criterion,,,"Specification of Grant coverage, Grant eligibility, Grant reimbursement rates, Grant specific criteria for funding, Grant population targets, and similar features.",,,https://w3id.org/dingo#,
64,https://w3id.org/dingo#CulturalOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,CulturalOrganisation,https://w3id.org/dingo#Organisation,,Cultural institution or cultural organization is an organization within a culture/subculture that works for the preservation or promotion of culture.,,,https://w3id.org/dingo#,
65,https://w3id.org/dingo#EmploymentCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,EmploymentCriterion,https://w3id.org/dingo#Criterion,,Grants are awarded on the basis of employment conditions by an organisation eligible for funding at the time of applying or receiving the funds.,,,https://w3id.org/dingo#,
66,https://w3id.org/dingo#FacilityOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,FacilityOrganisation,https://w3id.org/dingo#Organisation,,A place providing for a particular purpose.,,,https://w3id.org/dingo#,
67,https://w3id.org/dingo#FundingAgency,0,http://www.w3.org/2000/01/rdf-schema#Class,FundingAgency,https://w3id.org/dingo#Organisation,,The class for funding agencies: organisation that materially disburse and administer the Grant process.,,,https://w3id.org/dingo#,
68,https://w3id.org/dingo#GeographicCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,GeographicCriterion,https://w3id.org/dingo#Criterion,,"Grants are awarded to projects on the basis of geographic areas, either where the project has to be implemented, or where the researcher must have been operating before applying for funding, or where the participants must be resident or citizens.",,,https://w3id.org/dingo#,
69,https://w3id.org/dingo#GrantPayment,0,http://www.w3.org/2000/01/rdf-schema#Class,GrantPayment,,,The class for grant payments: a single payment to a recipient or beneficiary within a Grant.,,,https://w3id.org/dingo#,
70,https://w3id.org/dingo#HealthcareOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,HealthcareOrganisation,https://w3id.org/dingo#Organisation,,Organization that provides health care and related services.,,http://schema.org/MedicalOrganization,https://w3id.org/dingo#,
71,https://w3id.org/dingo#HigherEducationOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,HigherEducationOrganisation,https://w3id.org/dingo#Organisation,,"Place of postsecondary education (e.g., universities, vocational universities, community colleges, liberal arts colleges, institutes of technology, and others).",,,https://w3id.org/dingo#,
72,https://w3id.org/dingo#InfrastructurePurposeCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,InfrastructurePurposeCriterion,https://w3id.org/dingo#Criterion,,Grants are awarded to cover for the expenses of infrastructure.,,,https://w3id.org/dingo#,
73,https://w3id.org/dingo#IntergovernmentalOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,IntergovernmentalOrganisation,https://w3id.org/dingo#Organisation,,Organization composed primarily of sovereign states. Example: United Nations.,,,https://w3id.org/dingo#,
74,https://w3id.org/dingo#NonprofitOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,NonprofitOrganisation,https://w3id.org/dingo#Organisation,,"Business entity that pays no income tax, as it furthers a religious, scientific or social cause, providing a public benefit.",,,https://w3id.org/dingo#,
75,https://w3id.org/dingo#OrganisationalCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,OrganisationalCriterion,https://w3id.org/dingo#Criterion,,"Grants are awarded on the basis of specified organisational form of the project, for instance demanding for participation of different research groups (synergy).",,,https://w3id.org/dingo#,
76,https://w3id.org/dingo#PerformingGroup,0,http://www.w3.org/2000/01/rdf-schema#Class,PerformingGroup,https://w3id.org/dingo#Organisation,,"A performance group, such as a band, an orchestra, or a circus.",,http://schema.org/PerformingGroup,https://w3id.org/dingo#,
77,https://w3id.org/dingo#Person,0,http://www.w3.org/2000/01/rdf-schema#Class,Person,,,"The class for persons: alive, dead, undead, or fictional.",,http://schema.org/Person,https://w3id.org/dingo#,
78,https://w3id.org/dingo#PersonRole,0,http://www.w3.org/2000/01/rdf-schema#Class,PersonRole,https://w3id.org/dingo#Role,,The class for person roles: function assumed by or ascribed to a person that takes part in something.,,,https://w3id.org/dingo#,
79,https://w3id.org/dingo#Role,0,http://www.w3.org/2000/01/rdf-schema#Class,Role,,,"The class for roles: the function assumed by or ascribed to an entity (typically person, group of persons or organisation) in a particular situation.
It can be used to precise or represent additional information about a relationship or property such as participation or membership. The class should be only used to derive subclasses.",,http://schema.org/Role,https://w3id.org/dingo#,
80,https://w3id.org/dingo#SportsOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,SportsOrganisation,https://w3id.org/dingo#Organisation,,"Represents the class of all sports organizations, including sports teams, governing bodies, and sports associations.",,http://schema.org/SportsOrganisation,https://w3id.org/dingo#,
81,https://w3id.org/dingo#SupranationalOrganisation,0,http://www.w3.org/2000/01/rdf-schema#Class,SupranationalOrganisation,https://w3id.org/dingo#Organisation,,International organisation with power and influence in the jurisdictions of its member states. Example: European Union.,,,https://w3id.org/dingo#,
82,https://w3id.org/dingo#ThematicCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,ThematicCriterion,https://w3id.org/dingo#Criterion,,Grants are awarded to projects on the basis of specified thematic/subject areas or well-defined areas of investigation indicated by the funding body.,,,https://w3id.org/dingo#,
83,https://w3id.org/dingo#WorkingTimeCriterion,0,http://www.w3.org/2000/01/rdf-schema#Class,WorkingTimeCriterion,https://w3id.org/dingo#Criterion,,Grants are awarded to projects on the basis of percentage of work time specifically devoted to the funded research.,,,https://w3id.org/dingo#,
84,https://w3id.org/dingo#Organisation,5329,http://www.w3.org/2000/01/rdf-schema#Class,Organisation,,['http://lod.openaire.eu/data/erc/source/'],The class for organisations: social entities with a collective goal.,,http://schema.org/Organisation,https://w3id.org/dingo#,
